,bay_id,st_marker_id,status,location,lat,lon,description1,disabilityext1,duration1,effectiveonph1,endtime1,starttime1,today1,typedesc1
0,2252,3945S,Present,"{'latitude': '-37.81261862917434', 'longitude': '144.95362160189677'}",-37.81261862917434,144.95362160189677,1/2P MTR M-SAT 7.30 TO 18.30,60,30,0,18:30:00,07:30:00,6,1/2P Meter
1,2244,3932N,Unoccupied,"{'latitude': '-37.81221282649996', 'longitude': '144.9545647431513'}",-37.81221282649996,144.9545647431513,2P MTR M-SAT 7:30-20:30,240,120,0,20:30:00,07:30:00,6,2P Meter
2,1282,4474E,Unoccupied,"{'latitude': '-37.813033688592654', 'longitude': '144.95430777343313'}",-37.813033688592654,144.95430777343313,CW TOW M-F 7:00-10:00,0,0,0,10:00:00,07:00:00,5,Clearway (Tow away)
3,1291,4483W,Unoccupied,"{'latitude': '-37.81285802621315', 'longitude': '144.95397486300203'}",-37.81285802621315,144.95397486300203,CW TOW M-F 7:00-10:00,0,0,0,10:00:00,07:00:00,5,Clearway (Tow away)
4,1292,4484E,Unoccupied,"{'latitude': '-37.8127273293113', 'longitude': '144.95416523342118'}",-37.8127273293113,144.95416523342118,CW TOW M-F 7:00-10:00,0,0,0,10:00:00,07:00:00,5,Clearway (Tow away)
5,2242,3930N,Present,"{'latitude': '-37.81219457073095', 'longitude': '144.9546289525064'}",-37.81219457073095,144.9546289525064,2P MTR M-SAT 7:30-20:30,240,120,0,20:30:00,07:30:00,6,2P Meter
6,1290,4482E,Present,"{'latitude': '-37.81278151294654', 'longitude': '144.95419047769457'}",-37.81278151294654,144.95419047769457,CW TOW M-F 7:00-10:00,0,0,0,10:00:00,07:00:00,5,Clearway (Tow away)
7,2248,3938N,Present,"{'latitude': '-37.81226727797973', 'longitude': '144.95437225197944'}",-37.81226727797973,144.95437225197944,2P MTR M-SAT 7:30-20:30,240,120,0,20:30:00,07:30:00,6,2P Meter
8,2251,3944N,Present,"{'latitude': '-37.812321764801254', 'longitude': '144.95417995459024'}",-37.812321764801254,144.95417995459024,LZ 15M M-SUN 7:30-19:30,0,15,0,19:30:00,07:30:00,0,Loading Zone 15M
9,2247,3936N,Present,"{'latitude': '-37.81224916081595', 'longitude': '144.95443640358283'}",-37.81224916081595,144.95443640358283,2P MTR M-SAT 7:30-20:30,240,120,0,20:30:00,07:30:00,6,2P Meter
10,1284,4476E,Unoccupied,"{'latitude': '-37.81293227279018', 'longitude': '144.95426076235793'}",-37.81293227279018,144.95426076235793,CW TOW M-F 7:00-10:00,0,0,0,10:00:00,07:00:00,5,Clearway (Tow away)
11,1294,4486E,Unoccupied,"{'latitude': '-37.81267387438292', 'longitude': '144.95414032864602'}",-37.81267387438292,144.95414032864602,CW TOW M-F 7:00-10:00,0,0,0,10:00:00,07:00:00,5,Clearway (Tow away)
